quote,author,category
"If you can desire it, you can behold it.",Lailah Gifty Akita,"achievement, behold, desire, inspirational, self-help"
The philosophy of the rain is very simple: No obstacle is obstacle when you are strongly determined!,Mehmet Murat ildan,"determined, obstacle, philosophy, rain, simple"
"Whenever you feel exhausted, take time to relax, refresh and recharge.","Lailah Gifty Akita, Think Great: Be Great!","inspirational, life, relax, self-care, self-help"
People-based service is God-based service,Sunday Adelaja,"destiny, god, honoring-god, honoring-people, kingdom"
"When there is fear, there is no trust.","Pearl Zhu, Thinkingaire: 100 Game Changing Digital Mindsets to Compete for the Future","thinking, trust"
"The sweetest melody that playson starry nights and wintry days,most soothing to my listening earsand calming to beleaguering fears,I call a symphony on air―the song of sweet, still silence rare.","Richelle E. Goodrich, Making Wishes","poem, poetry, quiet, richelle-goodrich, silence"
"Everyone knew that if you divided reality by expectation, you got a happiness quotient. But when you invert the equation - expectation divided by reality - you didn't get the opposite of happiness. What you got, Lewis realized, was hope.","Jodi Picoult, Nineteen Minutes","expectation, happiness, inspirational, quotient, reality"
"You see, I, unlike you, have been made a prefect, which means that I, unlike you, have the power to hand out punishments.”“Yeah,” said Harry, “but you, unlike me, are a git.","J.K. Rowling, Harry Potter and the Order of the Phoenix","draco-malfoy, humor, prefect"
Friends are family members we have a choice over.,Mokokoma Mokhonoana,"family, friends, friendship"
"If I have the belief that I can do it, I shall surely acquire the capacity to do it even if I may not have it at the beginning.",Mahatma Gandhi,"capability, inspirational"
Most of us have the good or bad fortune of seeing our lives fall apart so slowly we barely notice. ,"Carlos Ruiz Zafón, The Shadow of the Wind","fortune, life"
"For beautiful success, serve with love and serve with courage.",Debasish Mridha M.D.,"courage, inspirational, love, philosophy, quotes"
No government can help the destinies of people who insist in putting sectional and class consciousness ahead of general weal.,Franklin D. Roosevelt,"people, help, consciousness "
"I'm sorry, I didn't mean--""""To speak of it?"" asked the K'mir. Diane nodded. ""You have to, just to bleed off the poison from the memory.","Tamora Pierce, Wild Magic","death, loss, ranting, talking, venting"
"Hey, yummy leather guy? Can you hear me? (Amanda)","Sherrilyn Kenyon, Night Pleasures","fanstastic, funny, humor"
A good part of my leadership skills is crafted from learning from experiences early in my career that were not positive experiences.,John Lasseter,"positive, leadership, good "
"As selfishness and complaint pervert and cloud the mind, so sex with its joy clears and sharpens the vision.","Helen Keller, My Religion",sex
"Every morning, I crawl out of bed. I sit there and think, 'Do I really need this?' And I drag myself to the gym in my garage. It's not fun. I hate it. I work out alone. Weights.",Sylvester Stallone,"work, myself, alone "
You can lose your MONEY. You can lose your FRIENDS. You can lose your JOB and you can lose your MARRIAGE...and still recover...as long as there is HOPE. Never lose HOPE.,John Paul Warren,"bible, church, inspirational, john-paul, john-warren"
Every post is a digital tattoo of your personal brand.Every post you make is a marketing piece. Whether you realize it or not and regardless of having something for sale. Every post is a digital tattoo of your personal brand.,Richie Norton,"confidence, entrepreneur, innovation, marketing, mindful"
"She it is, she, that found meIn the morphia honeymoon;With silk and steel she bound meIn her poisonous milk she drowned me,Even now her arms surround me","Aleister Crowley, Diary of a Drug Fiend","drugs, love"
God is waiting on you to believe that you are capable,Sunday Adelaja,"calling, destiny, employment, god, impact"
Do you want me? I am yours.,"Mark Andrew Poe, Ending Easter","desiring-god, harry-moon, love, motherhood, tweens"
"Miss Bingley's congratulations to her brother, on his approaching marriage, were all that was affectionate and insincere.","Jane Austen, Pride and Prejudice","congratulations, insincerity, marriage"
Life is nether food nor drink. But the faith of a dance dream.,Lailah Gifty Akita,"dance, dream, drink, faith, food"
"Those who fail to think, will shrink, sink and stink.",Ifeanyi Enoch Onuoha,"hinovelty, inspirational, motivational, quote, wisdom"
"As ofttimes as it rains on my little spot of earth, you'd think I'd grow accustomed to the gloom.","Richelle E. Goodrich, Smile Anyway","depression, despair, gloom, melancholy, rain"
Love  I find  is like singing. Everybody can do enough to satisfy themselves  though it may not impress the neighbors as being very much.,Zora Neale Hurston,happiness
She tasted good. Like salt and vinegar chips and Bailey’s Irish cream. Who knew that was such a fucking turn on?,"Amy Andrews, Playing With Forever","amy-andrews, quotes, ryder, sports-romance"
It is the theory which decided what can be observed.,Albert Einstein,"science, technology"
The philosophy of the schoolroom in one generation is the philosophy of government in the next.,Abraham Lincoln,"education, learning, school"
People who have created their success through hard work and the support of others are always looking for ways to help those around them. Don’t be afraid to reach out.,Mensah Oteh,"friendship, greatness, growth, influence, inspirational"
An artist is somebody who produces things that people don't need to have.,"Andy Warhol, Andy Warhol, Thirty Are Better Than One","art, fame, humor"
"Kill your fear, and start something! God needs people for greater works, but fear always tells them how dangerous it is to take a step!",Ernest Agyemang Yeboah,"fear, starting"
"We did it Disneyland, in the knowledge that most of the people I talked to thought it would be a financial disaster - closed and forgotten within the first year.",Walt Disney,"thought, financial, people "
"Child, you have to learn to see things in the right proportions. Learn to see great things great and small things small.",Corrie ten Boom,"inspirational, perspective, proportion"
Send me all the advice you like. I'll use as much as I can.,Louisa May Alcott,"advice, amy"
I like people who can keep the conversation going no matter how random the topic gets.,Turcois Ominek,"communication, communication-skills, conversation, people, random"
All the beatitudes manifest in the sacred-time.,"Lailah Gifty Akita, Think Great: Be Great!","blessings, marriage, sacred, spiritual, time"
"You saw my leg?""""How can a man help what he sees?"" he said. ""And, if I could add, you possess a very fine leg.","Shannon Hale, The Goose Girl","garet, horse, humor, isi, leg"
"I wanted to figure out why I was so busy, but I couldn't find the time to do it.",Todd Stocker,"active, busy, busyness, inspirational, time"
"Whatever you dream of, there will be fulfillment.","Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","achieve, achieving-dreams, ambition, believe, dream"
"The northern soldiers are just men,” Hal told the men in his command. “And women,” he amended. “When you cut them, they bleed, just like us.","Cinda Williams Chima, Shadowcaster","army, hal, shadowcaster, war"
There is no passion to be found playing small - in settling for a life that is less than the one you are capable of living.,Nelson Mandela,inspirational
For years I wanted to be older  and now I am.,Margaret Atwood,positive
"Religion and spirituality can easily be intertwined; however, there is a very distinct separation between the two.","Ricky Maye, An Emerging Spirituality","christianity, church, god, inspirational, religon"
Nostalgia... the blessing of a merciful memory.,Steve Maraboli,"blessings, inspiration, life, memory, nostalgia"
Seek to know thy soul.,Lailah Gifty Akita,"seek, soul, spirituality"
"Gin a body meet a bodyComing thro' the rye,Gin a body kiss a body— Need a body cry?",Robert Burns,"children, frustration, kids"
